NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,FLUX_APER,FLUXERR_APER,FLAGS,NITER_MODEL
16725,7627.0449,4382.6265,219.9364092,+40.0290514,2.401128,1.476325,0,68
16726,2729.6619,4383.7285,220.3805564,+40.0301775,1.540384,1.184947,0,50
16727,8402.7803,4385.7139,219.8660595,+40.0289440,1.381278,1.122814,2,20
16728,1987.6606,4381.5806,220.4478510,+40.0300394,4.263252,1.963948,0,42
16729,6486.9678,4394.5933,220.0397955,+40.0302781,1.489292,1.165356,0,74
16730,547.5305,4391.8066,220.5784622,+40.0306600,1.4054,1.132457,0,91
16731,2940.9053,4376.8281,220.3613986,+40.0296880,4.065821,1.918127,0,41
16732,8238.8896,4365.5298,219.8809333,+40.0276139,4.891208,2.103074,0,44
16733,5535.2769,4319.2173,220.1261288,+40.0253037,43.35838,6.251236,0,104
16734,114.2829,4387.9062,220.6177541,+40.0303335,2.227994,1.422545,0,34
16735,807.0000,4399.9795,220.5549310,+40.0312545,0.7254586,0.8184584,0,13
16736,1099.2356,4387.4927,220.5284256,+40.0304121,1.732298,1.255768,0,80
16737,4902.5205,4371.4448,220.1834972,+40.0290680,4.585093,2.036432,0,38
16738,2833.1121,4388.4019,220.3711739,+40.0304974,1.925819,1.323362,1,64
16739,1028.0502,4363.2017,220.5348791,+40.0287197,15.21896,3.705012,0,84
16740,7466.7139,4365.2607,219.9509576,+40.0279067,2.906958,1.623355,0,25
16741,2564.8027,4391.7891,220.3955078,+40.0307431,1.46296,1.155097,0,110
16742,451.1558,4387.1650,220.5872020,+40.0303264,1.602715,1.208413,0,7
16743,5444.3350,4394.7905,220.1343529,+40.0305733,1.17891,1.038471,0,14
16744,8424.6631,4401.9907,219.8640656,+40.0300646,0.8709368,0.894964,0,9
16745,1713.1775,4400.1650,220.4727455,+40.0313243,1.029687,0.9715986,0,37
16746,2302.7664,4403.2017,220.4192727,+40.0315409,0.9759147,0.9463273,0,14
16747,937.3312,4402.7163,220.5431109,+40.0314563,0.9244329,0.9215324,0,37
16748,5073.2612,4382.3906,220.1680097,+40.0297939,2.556488,1.522977,0,38
16749,5919.4497,4392.1289,220.0912649,+40.0302697,1.754674,1.263779,0,104
16750,1710.2823,4403.8774,220.4730082,+40.0315819,1.040961,0.9768327,0,26
16751,3567.6328,4398.7397,220.3045562,+40.0311606,1.516775,1.175938,1,59
16752,8427.2949,4406.3735,219.8638245,+40.0303677,0.6030762,0.7480886,0,6
16753,7971.3701,4388.8535,219.9051804,+40.0293462,1.852793,1.298281,0,60
16754,7018.3135,4384.8110,219.9916124,+40.0294258,2.696332,1.563794,0,14
16755,169.7601,4369.5547,220.6127194,+40.0290670,5.411848,2.211769,0,83
16756,3.9248,4391.4736,220.6277635,+40.0305650,1.438638,1.144896,24,11
16757,7045.8042,4388.0269,219.9891178,+40.0296396,2.187363,1.409585,0,32
16758,7598.2798,4387.3486,219.9390155,+40.0293904,1.796687,1.278666,3,39
16759,8345.0186,4400.7080,219.8712891,+40.0300106,1.391066,1.126734,2,10
