NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,FLUX_APER,FLUXERR_APER,FLAGS,NITER_MODEL
1,516.5088,1.5075,220.5806180,+39.7257777,0.5604773,0.7178004,24,8
2,4279.6729,2.6340,220.2408398,+39.7257898,0.3385486,0.5634643,16,9
3,4897.1738,2.6107,220.1850859,+39.7256828,0.8871687,0.9009409,16,12
4,6721.4409,2.4693,220.0203768,+39.7252057,0.773696,0.8421304,16,9
5,205.6561,1.8844,220.6086850,+39.7257650,0.7847015,0.8473384,24,9
6,2413.3318,1.9870,220.4093527,+39.7259015,1.052905,0.9796846,24,9
7,2898.3853,1.8883,220.3655568,+39.7258774,0.8558871,0.8843578,24,72
8,461.0088,4.5033,220.5856296,+39.7259793,0.6909399,0.7987032,16,8
9,4295.8164,4.4401,220.2393818,+39.7259128,0.6246634,0.7603902,16,7
10,2.9855,2.6915,220.6269843,+39.7257921,0.5813609,0.730509,16,9
11,2257.4751,5.5001,220.4234251,+39.7261475,0.3077208,0.54188,0,9
12,6745.1514,3.9671,220.0182355,+39.7253021,0.871756,0.8945062,16,12
13,6238.7598,6.4009,220.0639550,+39.7256250,0.5488392,0.7147081,0,9
14,7468.6333,6.3142,219.9529144,+39.7252141,0.4528347,0.6513771,0,8
15,5062.5181,2.9380,220.1701570,+39.7256727,0.8455412,0.8802321,24,9
16,7135.6284,2.9401,219.9829814,+39.7250999,1.017373,0.9641507,24,9
17,8202.1406,4.9233,219.8866913,+39.7248257,0.7023407,0.8054383,16,9
18,6747.6523,7.3262,220.0180083,+39.7255346,0.5084845,0.6888048,1,9
19,45.3394,9.3206,220.6231614,+39.7262588,0.1353567,0.3719108,0,6
20,680.2348,2.4547,220.5658353,+39.7258612,1.193458,1.04276,24,11
21,1180.6793,2.9464,220.5206499,+39.7259379,0.9033555,0.9093368,24,8
22,2502.4065,2.2229,220.4013101,+39.7259159,2.059511,1.366422,24,92
23,7848.3823,2.6214,219.9186309,+39.7248113,1.590784,1.202327,24,46
24,8286.3242,6.5958,219.8790900,+39.7249060,1.011083,0.9629092,16,9
25,1776.5924,8.8206,220.4668446,+39.7263737,0.8730328,0.8960184,0,13
26,6900.3291,8.8586,220.0042230,+39.7255910,0.8970886,0.9080497,0,10
27,3964.3152,11.2949,220.2693120,+39.7264348,0.2337166,0.476433,0,7
28,7210.4287,10.2934,219.9762246,+39.7255842,0.8877599,0.9033825,0,9
29,3777.0391,2.6807,220.2862226,+39.7258592,2.245764,1.426802,24,63
30,7274.5146,2.4969,219.9704422,+39.7250200,1.097842,1.000657,26,56
31,1576.0122,13.6773,220.4849556,+39.7267044,0.9707234,0.9438663,2,10
32,3029.0305,11.9506,220.3537600,+39.7265687,0.8599972,0.8894597,0,25
33,4814.0000,13.0146,220.1925931,+39.7264210,0.699722,0.8041485,0,12
34,6149.4932,12.9853,220.0720123,+39.7261075,0.8223575,0.8701603,0,10
35,7666.0728,13.2650,219.9350851,+39.7256219,0.823363,0.8707093,0,14
36,8429.4268,12.7047,219.8661668,+39.7252680,0.05712569,0.2603636,0,6
37,8112.5273,15.4713,219.8947761,+39.7255959,0.2141585,0.4575044,0,9
38,2317.9771,2.9596,220.4179623,+39.7259705,2.569666,1.525808,24,13
39,4050.0471,3.0731,220.2615726,+39.7258527,3.183213,1.697364,24,86
40,5751.2837,2.9954,220.1079694,+39.7255197,2.637337,1.545676,24,39
41,5170.2998,6.9475,220.1604244,+39.7259288,1.102523,1.004816,16,12
42,310.1617,16.1585,220.5992516,+39.7267701,0.5162073,0.6938608,0,12
43,8351.6797,14.6034,219.8731850,+39.7254338,0.6479484,0.7746258,0,6
44,1930.3488,16.3121,220.4529619,+39.7268971,0.6268512,0.7622972,0,9
45,8230.8906,7.6614,219.8840941,+39.7250037,0.2062963,0.4497152,16,12
46,7479.1724,10.1648,219.9519610,+39.7254776,1.004401,0.9598038,0,9
47,5614.4468,15.2112,220.1203202,+39.7264018,0.7211089,0.8160917,0,11
48,7043.5425,18.5151,219.9912885,+39.7262133,0.7616518,0.8381959,0,7
49,2822.0525,11.1719,220.3724484,+39.7265259,1.088551,0.9985162,16,30
50,4357.7490,16.2874,220.2337875,+39.7267261,0.8824068,0.9007325,0,10
51,7291.6172,15.7995,219.9688919,+39.7259376,0.8755578,0.8972684,2,8
52,2367.8152,3.5709,220.4134624,+39.7260123,2.880608,1.615323,24,62
53,2705.7009,4.1974,220.3829543,+39.7260465,2.808064,1.595255,24,51
54,1946.6069,11.9897,220.4514938,+39.7265972,1.101648,1.004374,0,13
55,8434.3242,12.0844,219.8657249,+39.7252228,0.6246476,0.7610159,0,8
56,369.1642,17.7426,220.5939244,+39.7268875,0.7924487,0.8545569,0,10
57,231.5439,12.9009,220.6063495,+39.7265336,1.206122,1.050232,1,8
58,1192.6774,13.4020,220.5195675,+39.7266648,1.277662,1.080442,0,12
59,2988.7212,18.3058,220.3573991,+39.7270124,0.7590501,0.8368015,0,8
60,8396.3438,18.2094,219.8691504,+39.7256648,-0.04091911,0.1278331,0,7
61,1334.2047,6.7286,220.5067883,+39.7262101,1.862496,1.301633,16,10
62,7321.7192,6.0932,219.9661787,+39.7252527,1.717757,1.250578,16,22
63,6086.6509,8.4446,220.0776879,+39.7258096,1.39127,1.126838,16,11
64,37.4896,21.5085,220.6238725,+39.7271040,0.4730954,0.6653094,0,10
65,7425.5225,21.4562,219.9567994,+39.7262816,0.5494126,0.7150753,0,7
66,5522.9082,4.9155,220.1285884,+39.7257088,2.113132,1.385549,24,55
67,4317.3472,10.4729,220.2374366,+39.7263285,1.064577,0.9876374,16,20
68,7013.0000,17.5135,219.9940465,+39.7261541,0.7231755,0.8171908,0,18
69,6132.5723,19.8031,220.0735376,+39.7265857,0.8920776,0.9055421,2,12
70,3920.1841,5.8238,220.2732975,+39.7260604,2.27565,1.437527,16,68
71,1992.1266,17.0952,220.4473839,+39.7269523,1.093319,1.000694,2,6
72,7955.2354,20.7996,219.9089742,+39.7260306,0.600969,0.7468242,0,9
73,7612.3394,22.1539,219.9399320,+39.7262598,0.5878333,0.7388759,0,6
74,6483.5264,4.1508,220.0418566,+39.7253966,11.62986,3.239195,24,48
75,5481.1338,5.1127,220.1323601,+39.7257323,2.983213,1.64431,24,54
76,3568.3040,21.4688,220.3050670,+39.7271862,1.015242,0.9649044,0,13
77,850.5042,10.5311,220.5504625,+39.7264385,1.58796,1.202914,18,12
78,1888.9957,27.6801,220.4566960,+39.7276858,0.7806422,0.848286,0,10
79,5693.5029,27.4769,220.1131783,+39.7272342,0.7153707,0.812949,0,5
80,2443.0508,4.3809,220.4066693,+39.7260671,9.530719,2.932844,24,60
81,903.0981,18.7995,220.5457147,+39.7270174,1.389231,1.125989,2,82
82,3025.5212,20.6225,220.3540761,+39.7271711,1.097261,1.002425,0,20
83,50.1330,26.0889,220.6227318,+39.7274239,0.7416877,0.8273976,0,8
84,8267.8066,26.2388,219.8807508,+39.7262779,0.6138744,0.7545902,0,6
85,3117.2324,10.1714,220.3457962,+39.7264394,1.901431,1.315048,16,61
86,5859.5601,26.6739,220.0981853,+39.7271363,0.9595883,0.9385282,2,10
87,34.4502,29.4663,220.6241485,+39.7276561,0.1454029,0.3838423,0,9
88,6946.5225,22.7942,220.0000462,+39.7265433,1.396414,1.128866,1,82
89,3610.7129,25.2089,220.3012373,+39.7274416,1.030591,0.9719961,0,10
90,8276.4004,27.8741,219.8799740,+39.7263878,0.3769614,0.5965704,0,9
91,4959.8291,11.2559,220.1794266,+39.7262709,1.520667,1.177421,16,64
92,6473.2900,11.7819,220.0427778,+39.7259296,1.681374,1.237363,18,33
93,6133.0181,25.0000,220.0734954,+39.7269464,0.8305384,0.8743802,2,13
94,8320.7471,24.7552,219.8759719,+39.7261521,0.9759437,0.9463543,0,8
95,4328.8374,26.1645,220.2363960,+39.7274164,0.8274505,0.8728309,0,12
96,1218.7418,25.9798,220.5172152,+39.7275400,0.9822093,0.9493276,0,8
97,8319.2090,33.3808,219.8761059,+39.7267518,0.9505157,0.9341592,0,10
98,281.4644,7.0561,220.6018412,+39.7261343,3.838673,1.864038,24,88
99,1689.3385,22.0633,220.4747235,+39.7272908,1.820178,1.286921,0,26
100,811.1298,21.8429,220.5540191,+39.7272204,1.255342,1.071108,0,23
101,6422.5488,29.3214,220.0473522,+39.7271628,0.9566199,0.9371068,0,7
102,4413.2202,34.5892,220.2287752,+39.7279883,0.6870477,0.7970591,0,14
103,3780.1245,17.9842,220.2859417,+39.7269216,1.945246,1.329971,16,80
104,1499.1864,27.5608,220.4918931,+39.7276652,1.173316,1.03605,0,31
105,4800.0156,30.3063,220.1938515,+39.7276244,0.9209577,0.9197869,0,12
106,1108.3951,21.1318,220.5271782,+39.7271957,1.584321,1.201519,3,23
107,1009.8644,14.4820,220.5360741,+39.7267264,1.631994,1.219289,0,60
108,4966.4185,28.8294,220.1788271,+39.7274900,1.180986,1.039371,0,9
109,2400.4973,36.4847,220.4105107,+39.7282973,0.8106405,0.8641362,0,8
110,2831.3245,36.3377,220.3716096,+39.7282730,0.6807674,0.7935229,0,13
111,8332.6729,36.6622,219.8748884,+39.7269738,0.5026869,0.685009,0,9
112,3666.6575,33.6690,220.2961847,+39.7280233,0.7543314,0.8342277,2,12
113,7836.0371,27.5261,219.9197325,+39.7265456,1.483161,1.162973,0,14
114,96.9880,5.8926,220.6184974,+39.7260282,10.9626,3.145241,24,63
115,2396.3943,20.0209,220.4108816,+39.7271541,2.107078,1.383694,0,52
116,3324.5254,26.7878,220.3270777,+39.7275777,1.314188,1.095587,2,12
117,2281.7998,37.3848,220.4212284,+39.7283615,1.028585,0.9710491,0,13
118,2288.4832,26.6561,220.4206250,+39.7276164,1.425962,1.140632,0,7
119,2760.8779,14.4976,220.3779718,+39.7267596,2.935236,1.631185,16,53
120,1031.0380,27.3547,220.5341636,+39.7276220,1.203209,1.048974,0,10
121,5566.2773,12.9961,220.1246701,+39.7262596,3.787953,1.851723,16,105
122,1824.2521,26.0607,220.4625419,+39.7275721,1.54041,1.184961,0,6
123,4579.0151,17.6312,220.2138089,+39.7267835,2.923228,1.627848,19,47
124,4390.4985,38.0210,220.2308261,+39.7282302,0.2876132,0.5248117,0,9
125,4851.2627,40.5866,220.1892218,+39.7283287,0.7316284,0.8218623,0,9
126,5733.5200,40.4843,220.1095609,+39.7281275,0.8644738,0.8917519,0,10
127,7252.0703,24.0873,219.9724585,+39.7265273,1.747678,1.261313,0,55
128,4647.9189,10.9521,220.2075890,+39.7263078,6.281043,2.382216,16,60
129,1967.4337,31.4225,220.4496137,+39.7279469,1.574805,1.197957,0,8
130,425.8438,34.2354,220.5888093,+39.7280398,1.383852,1.123872,0,9
131,1494.4724,33.4895,220.4923191,+39.7280767,0.9203405,0.9195434,0,9
132,8300.2705,38.9987,219.8778126,+39.7271500,0.5804334,0.7343223,0,9
133,2742.3228,41.3305,220.3796457,+39.7286237,0.4100369,0.6211298,0,10
134,7976.0469,10.4165,219.9071008,+39.7253011,3.945026,1.889562,16,45
135,1370.8979,17.0281,220.5034759,+39.7269274,3.96757,1.894917,0,231
136,1890.6844,39.8102,220.4565438,+39.7285282,1.297552,1.088714,0,7
137,4225.1943,40.1997,220.2457515,+39.7284065,0.7691491,0.8421363,0,12
138,8214.5049,40.1183,219.8855554,+39.7272644,0.687184,0.7971883,0,9
139,8334.6543,42.6896,219.8747062,+39.7273915,0.4973676,0.6815022,0,13
140,1437.0625,18.1622,220.4975019,+39.7270096,4.104267,1.927147,0,46
141,2119.2751,18.7644,220.4359033,+39.7270690,3.153424,1.690342,0,53
142,2924.5139,19.0746,220.3631964,+39.7270694,2.584815,1.53136,0,43
143,1331.3303,35.9837,220.5070500,+39.7282415,0.9886875,0.9524009,0,40
144,1710.0077,38.7684,220.4728579,+39.7284515,1.185332,1.041257,3,13
145,2739.6821,43.3542,220.3798840,+39.7287643,0.5902588,0.7403418,0,13
146,5665.3413,43.6993,220.1157158,+39.7283677,0.3117674,0.5452181,0,8
147,2789.8372,26.9904,220.3753563,+39.7276258,2.323024,1.452296,0,50
148,3001.3760,28.6184,220.3562556,+39.7277278,1.654136,1.227424,0,50
149,7565.8247,32.6430,219.9441265,+39.7270059,1.28988,1.085555,1,52
150,8162.0293,37.1588,219.8902949,+39.7270811,0.5496436,0.7152149,0,8
151,2589.0303,41.7153,220.3934871,+39.7286560,1.021712,0.96789,0,9
152,3371.3235,44.6774,220.3228502,+39.7288161,0.5122982,0.6913185,0,8
153,3752.3247,37.7023,220.2884489,+39.7282940,1.279947,1.081444,0,37
154,7389.2388,20.0893,219.9600759,+39.7262000,4.903389,2.105661,0,51
155,6264.4282,23.0132,220.0616312,+39.7267712,3.75067,1.842643,0,62
156,7351.1475,30.5654,219.9635101,+39.7269414,1.869761,1.304158,0,6
157,6905.5737,33.1904,220.0037389,+39.7272789,1.202139,1.048503,0,10
158,8135.4785,45.5168,219.8926875,+39.7276726,0.5524945,0.7170373,0,13
159,7218.8730,21.5634,219.9754570,+39.7263638,6.998494,2.514215,0,132
160,4847.2251,31.4671,220.1895886,+39.7276962,1.700902,1.244462,0,7
161,4706.2012,19.5118,220.2023247,+39.7268919,3.824591,1.860614,0,105
162,7886.6772,41.8099,219.9151529,+39.7275173,1.129874,1.016974,0,7
163,6407.4351,37.8382,220.0487135,+39.7277588,1.374265,1.120026,0,41
164,2611.1548,14.8356,220.3914905,+39.7267887,11.32421,3.196617,16,55
165,1710.0042,41.7674,220.4728583,+39.7286597,1.089285,0.9988391,3,13
166,5309.4746,44.7845,220.1478475,+39.7285262,1.105365,1.006068,0,9
167,515.1743,47.6172,220.5807454,+39.7289795,0.6659222,0.78504,0,6
168,2654.1355,26.4426,220.3876092,+39.7275932,3.428177,1.762041,0,42
169,8440.4248,45.9091,219.8651547,+39.7275689,0.2503108,0.491762,0,9
170,7422.6602,48.6806,219.9570446,+39.7281731,0.5040835,0.6859328,0,10
171,3484.0986,37.0254,220.3126681,+39.7282746,1.800177,1.279888,0,69
172,3384.9448,24.0249,220.3216226,+39.7273807,2.972358,1.641389,0,89
173,7766.0757,22.8402,219.9260515,+39.7262479,3.274276,1.722246,0,7
174,5281.7397,25.5744,220.1503573,+39.7271983,3.698018,1.829724,0,66
175,7914.7012,39.2120,219.9126241,+39.7273256,1.764012,1.267086,0,9
176,8222.0000,46.9857,219.8848749,+39.7277381,0.2439348,0.4858351,0,8
177,7270.5190,49.7489,219.9707809,+39.7283026,0.8537008,0.8862606,0,10
178,1293.7892,14.3641,220.5104380,+39.7267380,3.89442,1.877455,16,63
179,1791.8419,35.4916,220.4654686,+39.7282262,1.607893,1.210331,0,19
180,4556.3062,40.9197,220.2158542,+39.7284046,1.636083,1.220802,2,65
181,2033.3081,45.4661,220.4436658,+39.7289228,0.8407589,0.8796865,0,12
182,2151.4341,27.1639,220.4329996,+39.7276523,2.680243,1.559172,3,75
183,5041.7744,32.3503,220.1720222,+39.7277194,1.945727,1.330137,0,10
184,2921.6057,39.2263,220.3634576,+39.7284690,1.207486,1.050793,0,9
185,1713.4849,40.5023,220.4725440,+39.7285720,0.5984561,0.7453685,3,9
186,1573.1017,41.6630,220.4852198,+39.7286477,1.437255,1.145083,3,39
187,4848.4907,51.3451,220.1894694,+39.7290763,0.6707909,0.7878393,0,10
188,8288.7715,51.5721,219.8788438,+39.7280281,0.1809337,0.4234812,0,8
189,5865.0957,7.6263,220.0976919,+39.7258121,6.084681,2.344785,24,58
190,4493.7881,34.6319,220.2215005,+39.7279783,2.490419,1.50332,0,8
191,7383.9048,50.1793,219.9605431,+39.7282914,0.8429331,0.8807424,0,13
192,261.0674,48.0710,220.6036899,+39.7289798,1.247063,1.067636,0,32
193,8186.1143,14.4611,219.8881329,+39.7254948,4.766469,2.076178,16,46
194,1612.3824,35.9712,220.4816727,+39.7282539,2.152433,1.398384,0,55
195,8158.3193,53.2984,219.8906210,+39.7282034,0.6160148,0.7558943,0,6
196,8398.4473,53.4634,219.8689404,+39.7281119,0.674068,0.7897002,0,8
197,8324.8604,52.1410,219.8755850,+39.7280520,0.6861584,0.7965825,0,8
198,839.3579,32.0227,220.5514715,+39.7279299,2.950168,1.635291,0,73
199,4019.1667,34.1898,220.2643555,+39.7280176,2.086076,1.376843,0,24
200,1593.9662,36.8800,220.4833356,+39.7283163,2.040321,1.361782,0,53
201,1118.1597,44.5566,220.5262988,+39.7288231,0.9805735,0.9485731,0,13
202,3808.7612,52.0085,220.2833509,+39.7292810,0.8387215,0.8786142,0,9
203,3551.7556,22.5690,220.3065610,+39.7272642,4.772549,2.077491,2,78
204,3997.8394,23.7799,220.2662830,+39.7272975,2.976594,1.642554,0,48
205,3739.6467,32.9269,220.2895944,+39.7279638,2.270608,1.435947,0,51
206,2660.7717,40.7701,220.3870093,+39.7285879,1.857489,1.299909,2,20
207,1278.8064,48.6648,220.5117936,+39.7291190,0.884976,0.9020026,2,6
208,5538.8037,53.2046,220.1271382,+39.7290583,0.7299585,0.820906,0,9
209,8335.4512,14.2863,219.8746503,+39.7254188,10.47966,3.075303,16,32
210,8214.1406,20.5042,219.8855992,+39.7259026,7.919309,2.674116,16,85
211,4573.7222,25.7322,220.2142850,+39.7273470,2.973053,1.641593,3,38
212,3944.4148,47.2989,220.2711029,+39.7289376,0.9495538,0.9336819,0,9
213,6380.0000,54.0050,220.0511844,+39.7288896,0.8298282,0.8739857,0,9
214,1108.1562,30.5165,220.5272007,+39.7278474,2.379645,1.469747,2,53
215,4355.5522,49.8479,220.2339791,+39.7290570,1.181419,1.039571,0,10
216,8430.1318,52.7303,219.8660801,+39.7280471,0.7165112,0.8135602,1,9
217,8210.9697,57.4984,219.8858650,+39.7284728,0.2896582,0.5265719,0,8
218,8079.3613,48.1035,219.8977527,+39.7278756,1.287512,1.084556,2,18
219,6934.2681,21.7685,220.0011531,+39.7264762,4.02963,1.909617,0,65
220,6282.7886,43.4868,220.0599658,+39.7281876,1.881302,1.308125,0,8
221,2646.3962,56.1773,220.3883066,+39.7296584,0.4940504,0.6792816,0,9
222,8186.0278,58.7431,219.8881162,+39.7285698,0.2575974,0.4984168,0,9
223,8380.4814,51.9859,219.8705634,+39.7280171,1.172577,1.03572,3,9
224,3902.7480,32.5320,220.2748675,+39.7279173,7.643848,2.627301,0,85
225,5835.2979,49.4371,220.1003682,+39.7287233,1.556279,1.190967,0,8
226,4749.2505,56.9982,220.1984288,+39.7294873,0.955148,0.9363947,0,10
227,8225.0986,56.8586,219.8845896,+39.7284224,0.8683805,0.8937091,0,7
228,2380.0725,45.1164,220.4123548,+39.7288971,1.390412,1.126509,0,6
229,5763.5972,58.1968,220.1068393,+39.7293499,0.7089715,0.8092977,0,14
230,2021.6537,60.3149,220.4447183,+39.7299539,0.5308126,0.7032667,0,5
231,6526.0288,10.9202,220.0380165,+39.7258537,66.5979,7.746901,24,63
232,3192.4172,33.9499,220.3390054,+39.7280853,2.945347,1.633957,0,53
233,6343.5459,36.9627,220.0544825,+39.7277169,2.577461,1.529181,0,51
234,7499.0093,36.5313,219.9501571,+39.7273011,3.652003,1.81836,0,42
235,8328.3340,61.3150,219.8752663,+39.7286876,0.4705329,0.6635534,0,9
236,5191.6646,35.1284,220.1584876,+39.7278812,3.702275,1.830778,0,110
237,3063.6914,62.6884,220.3506261,+39.7300899,0.201677,0.4451018,0,9
238,5314.4961,62.3385,220.1473890,+39.7297440,1.042201,0.9774002,0,12
239,1424.1982,43.5196,220.4986651,+39.7287698,1.675249,1.235128,0,8
240,1645.3286,48.9121,220.4786985,+39.7291538,1.20553,1.049994,2,9
241,3402.7051,48.2063,220.3200162,+39.7290584,2.284575,1.440304,0,66
242,5250.3828,48.1952,220.1531821,+39.7287760,2.159435,1.400632,0,40
243,7516.5269,58.4882,219.9485647,+39.7288192,1.018597,0.9664737,0,13
244,671.3254,63.6458,220.5666480,+39.7301096,0.6259307,0.7617422,0,6
245,5034.3418,63.6669,220.1726850,+39.7298956,0.4664444,0.6607469,0,8
246,1569.4445,47.1702,220.4855503,+39.7290300,2.08175,1.375433,2,50
247,6807.5254,64.4874,220.0125782,+39.7294845,0.902706,0.9108594,0,9
248,4083.7195,32.7853,220.2585271,+39.7279115,5.275521,2.183818,0,113
249,6673.1104,55.0962,220.0247186,+39.7288756,1.047032,0.9796455,0,57
250,7526.4668,58.1357,219.9476674,+39.7287910,0.8134961,0.8655946,0,10
251,7083.2891,30.0760,219.9876946,+39.7270024,2.792855,1.591381,0,40
252,8057.2583,25.1434,219.8997607,+39.7262904,5.279531,2.184655,0,31
253,5516.4092,48.0922,220.1291619,+39.7287086,1.651607,1.226479,0,122
254,1625.3728,54.3620,220.4805007,+39.7295315,1.400439,1.130493,0,61
255,3979.2476,53.7460,220.2679566,+39.7293808,1.806568,1.282148,0,12
256,1824.3608,42.7674,220.4625326,+39.7287322,1.868125,1.303596,0,57
257,2601.8955,52.7089,220.3923250,+39.7294190,1.804995,1.281622,0,8
258,3567.7319,45.0672,220.3051155,+39.7288250,2.968233,1.640262,0,27
259,2381.8101,66.2349,220.4121974,+39.7303636,0.8043366,0.8607955,0,10
260,4855.4097,65.8004,220.1888411,+39.7300788,0.7121913,0.8110981,0,9
261,524.5002,68.3570,220.5799064,+39.7304208,1.032805,0.9730345,0,14
262,2547.8286,48.3002,220.3972072,+39.7291145,1.488557,1.165054,0,57
263,3896.3987,66.8019,220.2754354,+39.7302979,1.034592,0.9738144,3,17
264,5535.5854,66.8153,220.1274246,+39.7300042,0.6006312,0.7466149,0,10
265,8445.6719,69.5882,219.8646673,+39.7292108,0.3877535,0.6047193,24,10
266,7455.0894,49.7553,219.9541162,+39.7282357,2.548283,1.520562,0,60
267,63.5675,57.4576,220.6215248,+39.7296042,1.458066,1.153226,0,10
268,2818.9529,60.7995,220.3727252,+39.7299723,1.16813,1.033789,0,9
269,4107.6494,67.8642,220.2563601,+39.7303442,0.8892625,0.9041637,3,10
270,2240.8225,63.2221,220.4249282,+39.7301560,1.103011,1.005014,0,14
271,3896.0959,63.1461,220.2754633,+39.7300440,1.010837,0.962833,3,9
272,2065.3743,68.1845,220.4407705,+39.7305007,0.6438928,0.7722962,0,7
273,414.6326,70.6774,220.5898274,+39.7305691,0.4479192,0.6479754,0,9
274,8158.6802,70.6084,219.8905789,+39.7294052,0.3092216,0.5430493,0,9
275,6061.5425,36.7412,220.0799447,+39.7277815,7.558369,2.612609,3,54
276,1310.5804,51.2435,220.5089247,+39.7293000,2.703533,1.565878,0,66
277,5915.3823,52.0711,220.0931363,+39.7288853,2.398323,1.475469,0,44
278,6984.6304,59.8271,219.9965892,+39.7291021,1.553638,1.189968,0,43
279,6400.5225,71.4976,220.0493246,+39.7300982,0.601963,0.7474737,0,7
280,8371.3164,69.3067,219.8713810,+39.7292239,1.158113,1.029455,3,10
281,1076.8070,42.3397,220.5300325,+39.7286661,4.638545,2.048219,0,92
282,5156.2319,48.2357,220.1616832,+39.7287989,3.39449,1.753413,0,66
283,6285.1519,67.7667,220.0597432,+39.7298730,0.8642958,0.891634,0,9
284,7105.0312,69.8484,219.9857135,+39.7297567,0.811097,0.8643404,0,8
285,7643.4946,69.9881,219.9370951,+39.7295695,0.7841328,0.8501425,0,13
286,205.7772,50.8392,220.6086828,+39.7291646,2.226933,1.422186,0,46
287,8425.1201,58.6631,219.8665292,+39.7284612,1.874168,1.305695,0,11
288,4870.0200,34.1021,220.1875298,+39.7278748,9.877559,2.985803,0,41
289,5104.6436,49.2355,220.1663410,+39.7288791,2.010466,1.351889,0,36
290,6796.3174,74.6482,220.0135858,+39.7301937,0.7122471,0.8111856,0,5
291,4312.1133,52.1047,220.2379009,+39.7292203,2.835395,1.603385,0,31
292,6696.9023,60.1772,220.0225683,+39.7292208,1.939994,1.328179,0,82
293,2890.3301,75.6808,220.3662791,+39.7310021,0.8725961,0.8958361,0,9
294,6195.4551,65.8869,220.0678429,+39.7297681,1.581674,1.200544,0,43
295,1619.2017,66.7328,220.4810585,+39.7303904,1.3165,1.09653,2,87
296,696.9945,74.1851,220.5643316,+39.7308441,0.853732,0.8862388,2,12
297,7927.9756,76.4817,219.9114059,+39.7299082,0.6206222,0.7585856,0,9
298,8321.9756,76.3979,219.8758318,+39.7297377,0.5643907,0.7244202,0,10
299,8378.1084,55.1446,219.8707758,+39.7282375,2.059529,1.36814,2,8
300,7375.6523,68.6802,219.9612794,+39.7295792,1.416768,1.136981,2,9
301,4363.0386,62.7113,220.2333005,+39.7299491,1.421892,1.139002,2,12
302,210.1907,65.2556,220.6082868,+39.7301663,1.424295,1.139955,2,7
303,2720.1145,67.3359,220.3816496,+39.7304305,1.377647,1.12139,0,10
304,8411.4385,67.0323,219.8677597,+39.7290484,0.9816926,0.9490911,0,8
305,8296.1582,77.6258,219.8781622,+39.7298340,0.3095587,0.5433749,0,7
306,262.5167,58.4295,220.6035608,+39.7296993,1.486318,1.164209,2,12
307,5453.6914,70.7802,220.1348179,+39.7302987,0.8875433,0.9032745,0,12
308,2118.5034,73.0353,220.4359732,+39.7308377,0.8418366,0.880205,0,10
309,1864.5562,76.1288,220.4589040,+39.7310498,0.8623962,0.890655,0,9
310,3859.4956,76.0336,220.2787661,+39.7309434,0.5233798,0.6984719,0,8
311,223.3960,27.8603,220.6070878,+39.7275713,47.70055,6.556662,0,44
312,2210.6052,59.6436,220.4276567,+39.7299077,2.201415,1.414074,0,15
313,2306.4937,69.3429,220.4189982,+39.7305805,1.357637,1.113315,0,9
314,7184.9985,71.5026,219.9784924,+39.7298436,1.262784,1.074221,2,8
315,21.7973,77.0461,220.6253002,+39.7309583,0.5573475,0.7200447,0,9
316,8276.3389,79.6784,219.8799505,+39.7299851,0.442639,0.6443266,0,9
317,327.0814,63.5942,220.5977318,+39.7300663,2.036924,1.360655,0,30
318,3938.7991,78.0254,220.2716049,+39.7310720,0.8470291,0.8828442,0,8
319,8424.8213,80.3967,219.8665437,+39.7299705,0.6108159,0.75274,0,9
320,668.6172,33.6211,220.5668885,+39.7280243,18.74901,4.111854,0,24
321,3149.0210,40.6730,220.3429232,+39.7285553,2.769608,1.584769,0,55
322,3512.4958,53.8620,220.3101019,+39.7294411,2.471839,1.497756,0,46
323,5196.6992,54.0647,220.1580277,+39.7291951,4.568148,2.032693,0,47
324,3026.7964,56.4491,220.3539581,+39.7296589,5.850673,2.299397,0,33
325,6424.4868,58.7951,220.0471657,+39.7292090,3.175858,1.696305,0,68
326,1521.3812,61.2244,220.4898910,+39.7300039,2.522948,1.513038,0,83
327,1572.3439,60.8551,220.4852893,+39.7299804,1.641862,1.222919,0,9
328,3020.6216,71.3788,220.3545145,+39.7306960,1.121476,1.013257,2,27
329,5081.9492,70.9761,220.1683844,+39.7303935,1.262888,1.074288,0,9
330,6700.9897,84.0000,220.0221894,+39.7308738,0.8568175,0.887787,0,13
331,768.7538,67.2814,220.5578510,+39.7303718,2.122694,1.388769,0,63
332,2466.5305,78.0130,220.4045471,+39.7311799,0.7645484,0.8397263,0,12
333,1387.5048,82.5006,220.5019810,+39.7314749,0.6628561,0.7833266,0,9
334,8203.1055,70.8305,219.8865676,+39.7294019,0.6457694,0.7733577,0,10
335,1262.8888,75.9157,220.5132331,+39.7310104,0.8745142,0.8968046,0,7
336,3470.1970,81.1907,220.3139180,+39.7313429,0.8269011,0.8724805,0,8
337,3596.8701,49.8463,220.3024839,+39.7291539,5.6735,2.264421,0,67
338,4820.2168,49.0264,220.1920229,+39.7289206,5.33851,2.196776,0,76
339,3142.9978,57.9925,220.3434655,+39.7297585,1.914325,1.319422,2,60
340,4765.8501,67.4777,220.1969275,+39.7302120,1.813418,1.284546,0,67
341,4471.5034,79.4886,220.2235031,+39.7310969,0.9864817,0.9513965,2,9
