_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS!2,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
220.51241300,+39.69449100,220.512413,+39.694491,1,+,6,J144202.97+394140.1,*,2003.2317,3,23.514,0.469,20.861,0.027,19.408,0.013,17.963,0.008,17.204,0.011,,,,
220.49952000,+39.69375100,220.499520,+39.693751,1,+,3,J144159.88+394137.5,,2003.2317,3,20.496,0.120,19.402,0.022,19.097,0.024,18.874,0.031,18.749,0.094,,0.0690,0.0268,0.0773
220.47566000,+39.69251600,220.475660,+39.692516,1,+,3,J144154.15+394133.0,,2003.2317,3,23.725,0.569,22.956,0.143,22.408,0.140,22.259,0.177,21.339,0.256,,0.5091,0.1625,0.4217
220.48888100,+39.70351300,220.488881,+39.703513,1,+,3,J144157.33+394212.6,,2003.2317,3,22.576,0.301,22.257,0.100,21.255,0.064,20.682,0.059,20.270,0.137,,0.5253,0.0837,0.5232
220.48697700,+39.69705700,220.486977,+39.697057,1,+,3,J144156.87+394149.4,,2003.2317,3,25.098,1.239,21.741,0.087,21.273,0.089,21.102,0.118,21.281,0.451,,0.1295,0.0890,0.1544
220.48468000,+39.68216800,220.484680,+39.682168,1,+,3,J144156.32+394055.8,,2003.2317,3,22.079,0.230,21.630,0.073,21.016,0.062,20.883,0.084,20.724,0.237,,0.3375,0.1023,0.3483
220.50140100,+39.69032700,220.501401,+39.690327,1,,3,J144200.33+394125.1,,2003.2317,3,21.205,0.352,21.190,0.152,21.883,0.446,21.369,0.446,20.162,0.508,,-9999.0000,-9999.0000,0.5564
220.47974300,+39.69420600,220.479743,+39.694206,1,+,3,J144155.13+394139.1,,2003.2317,3,25.666,0.746,23.291,0.278,21.825,0.122,21.425,0.131,20.581,0.206,,0.5087,0.0779,0.4348
220.48267700,+39.69610400,220.482677,+39.696104,1,+,3,J144155.84+394145.9,,2003.2317,3,23.467,0.675,24.120,0.505,22.024,0.140,21.349,0.115,20.784,0.234,,0.4451,0.0408,0.4848
220.49728700,+39.71506500,220.497287,+39.715065,1,+,6,J144159.34+394254.2,,2003.2317,3,24.650,1.035,23.891,0.407,22.187,0.153,20.495,0.053,19.653,0.084,,,,
220.50684400,+39.69112100,220.506844,+39.691121,1,+,6,J144201.64+394128.0,,2003.2317,3,23.262,0.391,23.814,0.263,23.038,0.218,23.847,0.489,22.987,0.463,,,,
220.48180200,+39.68734800,220.481802,+39.687348,1,,6,J144155.63+394114.4,,2003.2317,3,25.332,0.597,25.016,0.474,24.537,0.563,22.289,0.173,21.572,0.290,,,,
220.48241500,+39.70019300,220.482415,+39.700193,1,,6,J144155.77+394200.6,,2003.2317,3,24.578,0.872,23.546,0.263,24.164,0.590,22.766,0.307,20.724,0.178,,,,
220.48934700,+39.69766200,220.489347,+39.697662,1,,3,J144157.44+394151.5,,2003.2317,3,24.467,1.732,25.598,1.046,23.877,1.012,25.217,1.081,19.983,0.184,,-9999.0000,-9999.0000,0.4218
220.50448800,+39.69242600,220.504488,+39.692426,1,,6,J144201.07+394132.7,,2003.2317,3,24.498,0.708,24.927,0.448,25.158,0.521,24.851,0.483,21.326,0.229,,,,
220.51595000,+39.73026200,220.515950,+39.730262,1,+,3,J144203.82+394348.9,*,2003.2317,3,19.616,0.029,19.406,0.012,19.069,0.012,18.855,0.013,18.706,0.033,,0.3402,0.0673,0.2278
220.53711300,+39.71734800,220.537113,+39.717348,1,+,6,J144208.90+394302.4,*,2003.2317,3,20.200,0.041,19.976,0.016,19.995,0.020,19.769,0.024,19.541,0.059,,,,
220.52888800,+39.72283600,220.528888,+39.722836,1,+,6,J144206.93+394322.2,,2003.2317,3,22.541,0.225,21.275,0.035,20.837,0.035,20.664,0.042,20.555,0.122,,,,
220.51151800,+39.73341700,220.511518,+39.733417,1,+,6,J144202.76+394400.2,,2003.2317,3,23.453,0.500,23.025,0.159,21.888,0.092,21.818,0.127,21.708,0.349,,,,
220.51596400,+39.73928600,220.515964,+39.739286,1,+,3,J144203.83+394421.4,,2003.2317,3,22.686,0.358,22.292,0.113,21.817,0.116,21.021,0.086,20.737,0.224,,0.7322,0.0641,0.7120
220.50768400,+39.71517100,220.507684,+39.715171,1,+,3,J144201.84+394254.6,,2003.2317,3,22.654,0.296,22.347,0.101,21.666,0.086,21.491,0.110,21.696,0.401,,0.4970,0.1478,0.3440
220.51288700,+39.72325000,220.512887,+39.723250,1,+,3,J144203.09+394323.7,,2003.2317,3,23.280,0.458,22.703,0.128,21.789,0.089,21.268,0.084,20.953,0.207,,0.5574,0.1062,0.5134
220.52160900,+39.72824000,220.521609,+39.728240,1,+,3,J144205.18+394341.6,,2003.2317,3,21.942,0.381,19.893,0.050,18.880,0.020,18.399,0.019,17.913,0.040,,0.1649,0.0471,0.1751
220.51666900,+39.72135400,220.516669,+39.721354,1,+,3,J144204.00+394316.8,*,2003.2317,3,22.898,0.344,22.739,0.132,21.611,0.076,21.461,0.099,21.356,0.289,,0.4471,0.0788,0.4110
220.51868900,+39.72167400,220.518689,+39.721674,1,+,3,J144204.48+394318.0,,2003.2317,3,23.578,0.655,22.350,0.108,21.919,0.114,22.020,0.185,21.135,0.277,,0.3422,0.1248,0.3561
220.52294000,+39.72382100,220.522940,+39.723821,1,,3,J144205.50+394325.7,,2003.2317,3,24.383,1.857,22.403,0.214,22.974,0.549,25.300,1.141,21.693,0.855,,-9999.0000,-9999.0000,0.3654
220.51099900,+39.70030400,220.510999,+39.700304,1,+,6,J144202.63+394201.0,,2003.2317,3,23.554,0.529,23.260,0.191,22.108,0.110,21.336,0.082,20.887,0.182,,,,
220.51139700,+39.70184100,220.511397,+39.701841,1,,3,J144202.73+394206.6,*,2003.2317,3,23.822,0.960,23.433,0.338,21.352,0.086,21.224,0.117,20.375,0.185,,0.3976,0.0593,0.4157
220.51122800,+39.70127400,220.511228,+39.701274,1,,6,J144202.69+394204.5,,2003.2317,3,23.193,0.381,23.467,0.205,24.106,0.469,23.966,0.516,23.030,0.464,,,,
220.51420400,+39.70426700,220.514204,+39.704267,1,+,6,J144203.40+394215.3,*,2003.2317,3,24.638,0.709,22.212,0.073,20.808,0.035,19.558,0.019,18.888,0.033,,,,
